,0,1,2
0,001,Z W I↑ H I,5.08
1,002,Z W C↑ P W I,5.31
2,003,Z P W↑ P W C↑ P C,7.03
3,004,Z C I↑ H P C↑ P W V,8.57
4,021,Z C↑ H W C,5.13
5,022,Z W C↑ H W C,5.64
6,023,Z W C↑ H C↑ V W C,7.42
7,024,Z W C↑ H C↑ H W C,8.78
8,041,Z C↑ H P C,5.25
9,042,Z W C↑ H P C,5.76
10,043,Z W C↑ H C↑ V W C,7.42
11,044,Z W C↑ H C↑ H P C,8.9
12,061,Z V W↑ O V,5.47
13,062,Z W C↑ O V C,5.57
14,063,Z H W C↑ O V C,6.8
15,064,Z V W C↑ O V↑ O W C,9.01
16,081,Z V C↑ D V C,4.92
17,082,Z V W C↑ D W C,6.09
18,083,Z V W↑ O V C↑ D I,7.87
19,084,Z V C↑ D V W↑ O W C,9.53
20,101,Z V W↑ I V W,5.14
21,102,Z V W↑ D V W↑ C,6.53
22,103,Z V W↑ D W↑ I V,7.71
23,104,Z H W↑ D V W↑ I V,8.28
24,121,Z V W↑ I V C,5.0
25,122,Z V W↑ I W V C,6.35
26,123,Z V P W↑ D V P C,7.51
27,124,Z V W↑ D V W↑ I H W,9.59
28,141,Z I V W↑ C W,4.05
29,142,Z V P↑ I V W,5.47
30,143,Z V P↑ V H W↑ C W,6.62
31,144,Z V P↑ I V↑ I O W,7.87
32,161,Z V P↑ C D I,5.12
33,162,Z P↑ W↑ C V P↑ C I,6.96
34,163,Z H P↑ C I P↑ W,6.84
35,164,Z V P↑ C H P↑ C I V,8.64
36,181,Z V P↑ W ↫V,4.11
37,182,Z I V P↑ W P↑ W ↫V,6.33
38,183,Z V P↑ W U↑ W C ↫V,8.04
39,184,Z D U↑ C O H,7.61
40,201,Z I H↑ C I V,5.54
41,202,Z I H↑ C H,5.66
42,203,Z I H↑ C O H,6.42
43,204,Z I H↑ C D P↑ W I V,9.41
44,221,Z I V↑ C D V,4.6
45,222,Z I H↑ C I V,5.54
46,223,Z I H↑ W D O↑ V,7.62
47,224,Z I H↑ W D H↑ C V,9.28
48,241,Z C H↑ W ↫V,5.39
49,242,Z C H↑ W ↫O,6.19
50,243,Z C O H↑ W ↫O,6.96
51,244,Z C K H↑ W ↫O,7.69
52,261,Z I V↑ W C V,4.33
53,262,Z C I H↑ P W I V,6.63
54,263,Z C D O↑ W I V,7.09
55,264,Z C D H↑ P O↑ V,7.32
56,281,Z C I↑ W C I,4.9
57,282,Z C I↑ W C D↑ I,5.66
58,283,Z C D↑ W C K↑ I,7.51
59,284,Z C D↑ W D↑ C I,7.92
60,301,Z C I↑ W C I,4.9
61,302,Z C K↑ V W I,6.42
62,303,Z C K↑ P W I,7.5
63,304,Z C G↑ P C I,8.36
64,321,Z C D↑ V C I,4.78
65,322,Z C D↑ P C I,6.37
66,323,Z W O↑ U W I,7.34
67,324,Z P W O↑ U C I,7.85
68,341,Z W C↑ P W I,5.31
69,342,Z W C D↑ H C I,6.45
70,343,Z W K↑ H W C I,7.74
71,344,Z W K↑ U C I,8.54
