,A,B,C,D,E,G,Howth,H,I,J,K,O,P,Q,R,S,U,V,W,X
A,—,178° / 3.46,209° / 2.52,188° / 2.06,138° / 0.99,160° / 1.85,181° / 3.08,212° / 1.26,196° / 2.16,180° / 2.96,176° / 2.16,185° / 1.36,231° / 1.89,178° / 2.88,185° / 3.00,195° / 2.52,240° / 1.15,207° / 1.87,221° / 2.46,191° / 3.01
B,358° / 3.46,—,313° / 1.85,344° / 1.47,11° / 2.77,16° / 1.79,333° / 0.43,342° / 2.51,333° / 1.55,349° / 0.51,2° / 1.30,354° / 2.12,325° / 2.78,0° / 0.58,320° / 0.61,323° / 1.28,339° / 3.09,332° / 2.03,313° / 2.36,306° / 0.87
C,29° / 2.52,133° / 1.85,—,81° / 0.96,52° / 2.39,76° / 1.91,127° / 1.46,27° / 1.26,80° / 0.66,122° / 1.47,88° / 1.40,53° / 1.40,346° / 1.04,117° / 1.52,130° / 1.25,112° / 0.63,8° / 1.64,36° / 0.65,311° / 0.51,140° / 1.00
D,8° / 2.06,164° / 1.47,261° / 0.96,—,36° / 1.61,71° / 0.95,169° / 1.05,339° / 1.04,262° / 0.31,162° / 0.97,104° / 0.46,14° / 0.71,306° / 1.47,154° / 0.93,179° / 0.95,223° / 0.53,334° / 1.63,303° / 0.68,278° / 1.34,198° / 0.96
E,318° / 0.99,191° / 2.77,232° / 2.39,216° / 1.61,—,182° / 1.00,197° / 2.45,256° / 1.36,223° / 1.83,196° / 2.31,199° / 1.50,231° / 0.98,258° / 2.18,194° / 2.21,202° / 2.44,217° / 2.14,276° / 1.67,238° / 1.77,244° / 2.53,209° / 2.54
G,340° / 1.85,196° / 1.79,256° / 1.91,252° / 0.95,2° / 1.00,—,207° / 1.51,297° / 1.44,254° / 1.25,206° / 1.36,228° / 0.62,298° / 0.82,285° / 2.17,204° / 1.24,215° / 1.54,241° / 1.44,306° / 2.00,273° / 1.47,267° / 2.24,225° / 1.71
Howth,1° / 3.08,153° / 0.43,307° / 1.46,349° / 1.05,17° / 2.45,27° / 1.51,—,344° / 2.09,333° / 1.12,39° / 0.15,14° / 0.95,359° / 1.72,323° / 2.36,45° / 0.28,293° / 0.21,318° / 0.86,340° / 2.67,331° / 1.61,308° / 1.96,283° / 0.53
H,32° / 1.26,162° / 2.51,207° / 1.26,159° / 1.04,76° / 1.36,117° / 1.44,164° / 2.09,—,176° / 1.01,160° / 2.01,143° / 1.36,117° / 0.62,262° / 0.82,156° / 1.97,168° / 1.96,179° / 1.36,326° / 0.60,197° / 0.63,231° / 1.23,178° / 1.88
I,16° / 2.16,153° / 1.55,260° / 0.66,82° / 0.31,43° / 1.83,74° / 1.25,153° / 1.12,356° / 1.01,—,146° / 1.07,96° / 0.75,33° / 0.87,315° / 1.27,138° / 1.07,161° / 0.96,190° / 0.36,345° / 1.56,327° / 0.49,282° / 1.05,180° / 0.87
J,360° / 2.96,169° / 0.51,302° / 1.47,342° / 0.97,16° / 2.31,26° / 1.36,219° / 0.15,340° / 2.01,326° / 1.07,—,10° / 0.82,355° / 1.61,320° / 2.32,51° / 0.13,264° / 0.29,309° / 0.85,337° / 2.60,326° / 1.56,304° / 1.97,271° / 0.60
